movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
"2,410. The Time in Between (2010)","24 min | Short, Drama, Family",4.1,Rate,"The Time In Between (Tiden imellom) tells the story of a forbidden relationship between two young girls, a relationship that is inevitably torn apart by the tension surrounding them. It's a... See full summary »","Director: Henrik Martin Dahlsbakken | Stars: Bente Børsum, Ingeborg Huse Amundsen, Daniel Karlsson, Marius Kleppe",Votes: 18,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,411. Sexual Tension: Violetas (2013)","91 min | Comedy, Drama, Romance",4.8,Rate,"What are the rules that determine how attraction and desire are set free? Glances, unexpected smiles, confiding in unknown women. Long cherished fantasies, intimate friendships and ... See full summary »","Directors: Marco Berger, Marcelo Briem Stamm | Stars: Ana Lucía Antony, Candela García Redin, Pedro Jover, Sofía Romano",Votes: 258,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,412. Kiss Her I'm Famous (2013– )",50 min | Comedy,6.3,Rate,"Two BFFs, one fake celebrity sex tape.","Stars: Tracy Ryerson, Ilea Alfaro, Omar Elba, Ellyn Daniels",Votes: 218,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,413. Boy Meets Girl (I) (2014)","95 min | Comedy, Drama, Romance",7.1,Rate,68 Metascore,"Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams.","Director: Eric Schaeffer | Stars: Michael Welch, Michelle Hendley, Alexandra Turshen, Michael Galante","Votes: 4,896 | Gross: $0.02M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,414. Tru Love (2013)","94 min | Drama, Romance",6.4,Rate,A lesbian with commitment issues befriends a widowed mother who is visiting her workaholic daughter.,"Directors: Kate Johnston, Shauna MacDonald | Stars: Kate Trotter, Christine Horne, Shauna MacDonald, Anna Cyzon",Votes: 869,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,415. Starting Over Again (2014)","130 min | Drama, Romance",6.9,Rate,A pair of exes run into each other again years after a breakup that left them with plenty of questions.,"Director: Olivia M. Lamasan | Stars: Piolo Pascual, Toni Gonzaga, Iza Calzado, Lito Pimentel",Votes: 606,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,416. Helter Skelter (2012)","127 min | Crime, Drama, Horror",6.4,Rate,"Top star Lilico undergoes multiple cosmetic surgeries to her entire body. As her surgeries show side effect, Lilico makes the lives of those around her miserable as she tries to deal with her career and her personal problems.","Director: Mika Ninagawa | Stars: Erika Sawajiri, Nao Ômori, Shinobu Terajima, Gô Ayano","Votes: 3,157",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,417. Fatal Frame (2014)",104 min | Horror,5.7,Rate,A student at a conservative all-girls school tries to unravel the connection between a series of deaths and what appears to be a cursed photograph.,"Director: Mari Asato | Stars: Aoi Morikawa, Ayami Nakajô, Kôdai Asaka, Minori Hagiwara",Votes: 598,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,418. Of Girls and Horses (2014)",82 min | Drama,5.3,Rate,"Alex is a 16-year-old misfit and high school dropout. In a final attempt to set Alex straight, her adoptive mother signs her up for an internship at a farm where Alex meets thirty-something... See full summary »","Director: Monika Treut | Stars: Ceci Chuh, Alissa Wilms, Vanida Karun, Ellen Grell",Votes: 282,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,419. Lady Chatterley's Lover (2015 TV Movie)","15 | 89 min | Drama, Romance",6.3,Rate,In 1913 Connie Reid marries wealthy Nottingham colliery owner Sir Clifford Chatterley but he returns from the Great War disabled and in a wheelchair. Connie is loyal but begins to feel ... See full summary »,"Director: Jed Mercurio | Stars: Holliday Grainger, Richard Madden, James Norton, Jodie Comer","Votes: 3,894",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,420. Spooks: The Greater Good (2015)","15 | 104 min | Action, Drama, Thriller",6.2,Rate,47 Metascore,"When a terrorist escapes custody during a routine handover, Will Holloway must team with disgraced MI5 Intelligence Chief Harry Pearce to track him down before an imminent terrorist attack on London.","Director: Bharat Nalluri | Stars: Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman","Votes: 23,569",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,421. Doctor Foster (2015–2017)",15 | 60 min | Thriller,7.6,Rate,A woman suspects her husband of having an affair. After following several lines of inquiry far more unravels including a streak of violence below the surface.,"Stars: Suranne Jones, Bertie Carvel, Tom Taylor, Thusitha Jayasundera","Votes: 21,556",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,422. Life in Squares (2015)",15 | 171 min | Drama,6.5,Rate,An intimate and emotional drama for BBC Two about the revolutionary Bloomsbury group.,"Stars: James Norton, Phoebe Fox, Rupert Penry-Jones, Eve Best",Votes: 828,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,423. Partners in Crime (2015)","12 | 55 min | Crime, Drama, Mystery",6.5,Rate,"Agatha Christie's crime-fighting duo, Tommy and Tuppence Beresford, solve mysteries and search for enemy spies in 1950s Britain.","Stars: Jessica Raine, David Walliams, James Fleet, Matthew Steer","Votes: 2,629",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"2,424. Time Zero: The Last Year of Polaroid Film (2012)","93 min | Documentary, History",6.7,Rate,Various photographers and employees of Polaroid recount their experiences with the company's instant film in its final year of production.,"Director: Grant Hamilton | Stars: Layne Anderson, Sawyer Anderson, Dave Bias, André Bosman",Votes: 138,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
